x,y
1.165088288,-0.468575968
-0.024139352,0.369928951
-2.176553244,1.629634138
-0.719757782,0.346442447
1.941576086,-1.122046035
0.784523866,-0.304620973
0.64527418,0.601043052
-0.384043823,0.395396686
-0.608140013,0.792929506
0.878994375,-0.378996056
0.276047807,-1.004572402
-0.594533475,0.922281299
1.130760944,-1.257806086
0.121209045,0.28457868
-1.245045567,0.787835673
-1.4300182,1.116601981
-0.588662217,-0.112933904
-0.92172175,2.151786246
1.297656019,-0.630022891
0.107477123,-0.448310936
0.62021925,-0.982084969
1.570747479,-2.009906162
1.539933336,-0.526967339
1.076418575,0.251458856
1.270249351,-1.41325242
0.405795648,-0.03398471
0.244850895,-0.542902341
0.523039341,-0.672918499
-0.708641141,0.387397053
-0.759339997,1.009865107
-0.798083299,0.956524539
-1.107936713,0.85032193
-2.361804892,1.498179052
-0.469304931,0.395732345
-0.11425842,0.340597792
0.110940802,-0.541513575
-0.531736461,0.625999812
-1.386494083,1.045487634
2.257930019,-2.912976237
0.871291404,-1.374845796
-0.11778794,0.223134804
1.424327622,-1.302672347
-0.111995069,0.88261303
-0.130538699,1.079165139
0.990462788,-0.3844436
-1.514092466,0.672825907
0.671985038,0.055840824
0.545512061,-0.002628873
0.419778164,-1.079295342
-1.078958779,1.435928377
1.1105285,-0.273135022
-2.23173315,0.844970403
-0.943584655,0.523945532
2.132599161,-0.456427142
-0.365543485,0.6979768
0.565505024,-0.70253098
0.538447754,-0.159736275
0.844582093,-0.908025717
1.610411139,-0.865833858
0.38119534,-0.811705903
-0.531309465,0.531425917
-1.72259211,1.543063286
0.789653739,-0.475486881
0.317424276,-1.1473317
-1.34455487,1.387114448
-0.219116768,-0.240038486
0.336716277,-0.80847235
-2.905992691,3.646385715
-1.257812761,1.168864321
-0.934299548,1.526561104
-1.032845333,0.998429638
1.208424813,0.563464777
0.881229166,-0.864278291
0.428930203,-0.414159406
-0.912428408,1.491959314
0.808537014,-0.043383389
-0.114475465,0.200396003
-1.474967358,1.756837859
-2.632292113,3.457691765
0.233420999,-0.339316601
-0.450196445,1.229654106
0.371510461,-0.376192927
0.562700256,0.281438429
0.123044881,-0.191389445
-0.409471668,1.011045093
-0.136692491,0.947974963
-1.080511452,0.717455454
0.254031846,-1.019115376
0.297950019,-1.350217536
-0.69666607,0.821070105
-0.80094237,-0.105573362
0.501751784,-0.321490904
-1.093568427,0.504241117
0.819929882,-1.106479462
-1.794008151,1.241518009
-0.487271453,0.677204038
-0.29972402,-0.623363492
-1.145703821,1.113083754
-1.02664399,1.363696819
-0.006521927,0.506365051
