x,y
1.165088288,1.395565292
-0.024139352,0.331305988
-2.176553244,-1.852851052
-0.719757782,-0.805170004
1.941576086,1.984475702
0.784523866,0.950617212
0.64527418,1.633481741
-0.384043823,-0.21907343
-0.608140013,-0.180094515
0.878994375,1.027394944
0.276047807,-0.56289591
-0.594533475,-0.028972262
1.130760944,0.551411425
0.121209045,0.478513152
-1.245045567,-1.204237234
-1.4300182,-1.17142714
-0.588662217,-1.054793451
-0.92172175,0.677031447
1.297656019,1.446226739
0.107477123,-0.276347539
0.62021925,0.01026583
1.570747479,0.503289805
1.539933336,1.936925998
1.076418575,1.973728576
1.270249351,0.619146542
0.405795648,0.615288327
0.244850895,-0.151140908
0.523039341,0.163944447
-0.708641141,-0.746428773
-0.759339997,-0.205078889
-0.798083299,-0.32040874
-1.107936713,-0.922376812
-2.361804892,-2.280708775
-0.469304931,-0.355155545
-0.11425842,0.15778432
0.110940802,-0.364008292
-0.531736461,-0.224778526
-1.386494083,-1.172902899
2.257930019,0.699711793
0.871291404,0.01922045
-0.11778794,0.0346741
1.424327622,0.976251848
-0.111995069,0.70342092
-0.130538699,0.87030322
0.990462788,1.200296861
-1.514092466,-1.749722039
0.671985038,1.131016885
0.545512061,0.870190424
0.419778164,-0.40765028
-1.078958779,-0.29040567
1.1105285,1.503710579
-2.23173315,-2.725802636
-0.943584655,-0.985789916
2.132599161,2.955731516
-0.365543485,0.113107224
0.565505024,0.202277059
0.538447754,0.701780131
0.844582093,0.443305632
1.610411139,1.710823965
0.38119534,-0.201793359
-0.531309465,-0.318669227
-1.72259211,-1.21308409
0.789653739,0.787959101
0.317424276,-0.639452858
-1.34455487,-0.764173343
-0.219116768,-0.590625314
0.336716277,-0.269726308
-2.905992691,-1.003202591
-1.257812761,-0.843636097
-0.934299548,0.031681827
-1.032845333,-0.654122895
1.208424813,2.496944478
0.881229166,0.545688374
0.428930203,0.272128919
-0.912428408,0.032073861
0.808537014,1.250275833
-0.114475465,0.017235259
-1.474967358,-0.603109913
-2.632292113,-0.753975616
0.233420999,0.034156997
-0.450196445,0.509339793
0.371510461,0.21822381
0.562700256,1.181758838
0.123044881,0.005482365
-0.409471668,0.355890424
-0.136692491,0.729266977
-1.080511452,-1.011362869
0.254031846,-0.612664423
0.297950019,-0.873497506
-0.69666607,-0.293595607
-0.80094237,-1.387081153
0.501751784,0.481311951
-1.093568427,-1.245468366
0.819929882,0.20540835
-1.794008151,-1.628895032
-0.487271453,-0.102430286
-0.29972402,-1.102921924
-1.145703821,-0.72004236
-1.02664399,-0.278933564
-0.006521927,0.495929968
