x,y
1.165088288,0.772491103
-0.024139352,0.58436245
-2.176553244,-0.186014095
-0.719757782,-0.382272965
1.941576086,0.718691389
0.784523866,0.538330199
0.64527418,1.862103994
-0.384043823,0.146936047
-0.608140013,0.510695826
0.878994375,0.540332407
0.276047807,-1.306223593
-0.594533475,0.744424197
1.130760944,-0.588662218
0.121209045,0.635909861
-1.245045567,-0.3470013
-1.4300182,-0.045687633
-0.588662217,-0.97310613
-0.92172175,2.357348077
1.297656019,0.680169873
0.107477123,-0.603882062
0.62021925,-0.809849282
1.570747479,-1.25551363
1.539933336,1.174965549
1.076418575,1.854322859
1.270249351,-0.661754898
0.405795648,0.484419681
0.244850895,-0.578369374
0.523039341,-0.424145044
-0.708641141,-0.2991931
-0.759339997,0.670655182
-0.798083299,0.5300965
-1.107936713,-0.060045735
-2.361804892,-0.652108102
-0.469304931,0.033814
-0.11425842,0.415318427
0.110940802,-0.754601556
-0.531736461,0.334351072
-1.386494083,-0.106179388
2.257930019,-1.844387037
0.871291404,-1.129687788
-0.11778794,0.214840753
1.424327622,-0.272017082
-0.111995069,1.321694958
-0.130538699,1.624556966
0.990462788,0.679877717
-1.514092466,-0.897413444
0.671985038,0.989048092
0.545512061,0.722967959
0.419778164,-1.239121352
-1.078958779,0.954602256
1.1105285,1.02547963
-2.23173315,-1.567360194
-0.943584655,-0.38487032
2.132599161,2.082753645
-0.365543485,0.675903353
0.565505024,-0.416878268
0.538447754,0.451703214
0.844582093,-0.387266737
1.610411139,0.704158423
0.38119534,-0.844582718
-0.531309465,0.177297241
-1.72259211,0.274982663
0.789653739,0.260393517
0.317424276,-1.488987132
-1.34455487,0.519117588
-0.219116768,-0.692219833
0.336716277,-0.898498882
-2.905992691,2.202652603
-1.257812761,0.27102352
-0.934299548,1.298535776
-1.032845333,0.286922286
1.208424813,2.550341046
0.881229166,-0.265491597
0.428930203,-0.118358739
-0.912428408,1.270027645
0.808537014,1.005743703
-0.114475465,0.181359385
-1.474967358,0.961439956
-2.632292113,2.253096791
0.233420999,-0.254299669
-0.450196445,1.449161583
0.371510461,-0.13164093
0.562700256,1.219331056
0.123044881,-0.154922567
-0.409471668,1.139112931
-0.136692491,1.397701617
-1.080511452,-0.244922845
0.254031846,-1.359816499
0.297950019,-1.853095869
-0.69666607,0.439562082
-0.80094237,-1.243878762
0.501751784,0.133184206
-1.093568427,-0.617689374
0.819929882,-0.750892593
-1.794008151,-0.322814186
-0.487271453,0.478978127
-0.29972402,-1.43857118
-1.145703821,0.327534494
-1.02664399,0.903969379
-0.006521927,0.83524585
